[ 2017-09-04 10:30:01 73351 ] 内容 ： 【充值预警】Lgame9270139充值总额：12092.00元，总充值订单数：29单 结果：{"Code":false,"Msg":"\u53d1\u9001\u5931\u8d25\uff01"} 
[ 2017-09-08 00:30:01 68991 ] 内容 ： 【充值预警】Lgame9270139充值总额：11054.00元，总充值订单数：23单 结果：{"Code":false,"Msg":"\u53d1\u9001\u5931\u8d25\uff01"} 
[ 2017-09-15 00:30:02 66801 ] 内容 ： 【充值预警】Lgame9270139充值总额：10522.00元，总充值订单数：19单 结果：{"Code":false,"Msg":"\u53d1\u9001\u5931\u8d25\uff01"} 
[ 2017-09-15 12:00:01 80338 ] 内容 ： 【充值预警】Lgame9270139充值总额：18860.00元，总充值订单数：30单 结果：{"Code":false,"Msg":"\u53d1\u9001\u5931\u8d25\uff01"} 
[ 2017-09-15 12:00:01 80338 ] 内容 ： 【充值预警】Lgame34741680充值总额：10360.00元，总充值订单数：21单 结果：{"Code":false,"Msg":"\u53d1\u9001\u5931\u8d25\uff01"} 
[ 2017-09-15 12:00:01 80338 ] 内容 ： 【充值预警】l19840723充值总额：10244.00元，总充值订单数：18单 结果：{"Code":false,"Msg":"\u53d1\u9001\u5931\u8d25\uff01"} 
[ 2017-09-15 12:30:02 5404 ] 内容 ： 【充值预警】Lgame9270139充值总额：18860.00元，总充值订单数：30单 结果：{"Code":false,"Msg":"\u53d1\u9001\u5931\u8d25\uff01"} 
[ 2017-09-15 12:30:02 5404 ] 内容 ： 【充值预警】l19840723充值总额：10892.00元，总充值订单数：19单 结果：{"Code":false,"Msg":"\u53d1\u9001\u5931\u8d25\uff01"} 
[ 2017-09-15 12:30:02 5404 ] 内容 ： 【充值预警】Lgame34741680充值总额：10360.00元，总充值订单数：21单 结果：{"Code":false,"Msg":"\u53d1\u9001\u5931\u8d25\uff01"} 
[ 2017-09-15 13:15:01 67105 ] 内容 ： 【充值预警】Lgame9270139充值总额：18860.00元，总充值订单数：30单 结果：{"Code":false,"Msg":"\u53d1\u9001\u5931\u8d25\uff01"} 
[ 2017-09-15 13:15:01 67105 ] 内容 ： 【充值预警】l19840723充值总额：10892.00元，总充值订单数：19单 结果：{"Code":false,"Msg":"\u53d1\u9001\u5931\u8d25\uff01"} 
[ 2017-09-15 13:15:01 67105 ] 内容 ： 【充值预警】Lgame34741680充值总额：10360.00元，总充值订单数：21单 结果：{"Code":false,"Msg":"\u53d1\u9001\u5931\u8d25\uff01"} 
[ 2017-09-15 13:15:01 67105 ] 内容 ： 【充值预警】Ls511504839194a1bf7充值总额：10100.00元，总充值订单数：153单 结果：{"Code":false,"Msg":"\u53d1\u9001\u5931\u8d25\uff01"} 
[ 2017-09-15 13:45:02 59419 ] 内容 ： 【充值预警】Lgame9270139充值总额：18860.00元，总充值订单数：30单 结果：{"Code":false,"Msg":"\u53d1\u9001\u5931\u8d25\uff01"} 
[ 2017-09-15 13:45:02 59419 ] 内容 ： 【充值预警】Lgame34741680充值总额：10360.00元，总充值订单数：21单 结果：{"Code":false,"Msg":"\u53d1\u9001\u5931\u8d25\uff01"} 
[ 2017-09-15 13:45:02 59419 ] 内容 ： 【充值预警】l19840723充值总额：10244.00元，总充值订单数：18单 结果：{"Code":false,"Msg":"\u53d1\u9001\u5931\u8d25\uff01"} 
[ 2017-09-15 13:45:02 59419 ] 内容 ： 【充值预警】Ls511504839194a1bf7充值总额：10150.00元，总充值订单数：154单 结果：{"Code":false,"Msg":"\u53d1\u9001\u5931\u8d25\uff01"} 
[ 2017-09-15 14:45:01 77101 ] 内容 ： 【充值预警】Lgame9270139充值总额：18860.00元，总充值订单数：30单 结果：{"Code":false,"Msg":"\u53d1\u9001\u5931\u8d25\uff01"} 
[ 2017-09-15 14:45:01 77101 ] 内容 ： 【充值预警】Lgame34741680充值总额：10360.00元，总充值订单数：21单 结果：{"Code":false,"Msg":"\u53d1\u9001\u5931\u8d25\uff01"} 
[ 2017-09-15 14:45:01 77101 ] 内容 ： 【充值预警】Ls511504839194a1bf7充值总额：10150.00元，总充值订单数：154单 结果：{"Code":false,"Msg":"\u53d1\u9001\u5931\u8d25\uff01"} 
[ 2017-09-15 18:00:01 37262 ] 内容 ： 【充值预警】Lgame9270139充值总额：15620.00元，总充值订单数：25单 结果：{"Code":false,"Msg":"\u53d1\u9001\u5931\u8d25\uff01"} 
[ 2017-09-15 18:00:01 37262 ] 内容 ： 【充值预警】Lgame34741680充值总额：10360.00元，总充值订单数：21单 结果：{"Code":false,"Msg":"\u53d1\u9001\u5931\u8d25\uff01"} 
[ 2017-09-15 19:15:01 50406 ] 内容 ： 【充值预警】Lgame9270139充值总额：14324.00元，总充值订单数：23单 结果：{"Code":true,"Msg":"\u53d1\u9001\u6210\u529f\uff01"} 
[ 2017-09-15 19:15:01 50406 ] 内容 ： 【充值预警】Lgame34741680充值总额：10360.00元，总充值订单数：21单 结果：{"Code":true,"Msg":"\u53d1\u9001\u6210\u529f\uff01"} 
[ 2017-09-16 00:00:01 53804 ] 内容 ： 【充值预警】Lgame9270139充值总额：14324.00元，总充值订单数：23单 结果：{"Code":true,"Msg":"\u53d1\u9001\u6210\u529f\uff01"} 
[ 2017-09-16 00:00:01 53804 ] 内容 ： 【充值预警】Lgame34741680充值总额：10360.00元，总充值订单数：21单 结果：{"Code":true,"Msg":"\u53d1\u9001\u6210\u529f\uff01"} 
[ 2017-09-16 00:30:01 66795 ] 内容 ： 【充值预警】Lgame34741680充值总额：10330.00元，总充值订单数：20单 结果：{"Code":true,"Msg":"\u53d1\u9001\u6210\u529f\uff01"} 
[ 2017-09-21 12:45:01 32282 ] 内容 ： 【充值预警】Ls511504839194a1bf7充值总额：11664.00元，总充值订单数：18单 结果：{"Code":true,"Msg":"\u53d1\u9001\u6210\u529f\uff01"} 
[ 2017-09-21 14:30:02 60210 ] 内容 ： 【充值预警】Ls511504839194a1bf7充值总额：19440.00元，总充值订单数：30单，充值设备：18台，充值IP：21个 结果：{"Code":true,"Msg":"\u53d1\u9001\u6210\u529f\uff01"} 
[ 2017-09-21 14:45:01 68489 ] 内容 ： 【充值预警】Ls511504839194a1bf7充值总额：19440.00元，总充值订单数：30单，充值设备：18台，充值IP：21个 结果：{"Code":true,"Msg":"\u53d1\u9001\u6210\u529f\uff01"} 
[ 2017-09-22 19:15:02 26292 ] 内容 ： 【充值预警】Lgame9270139充值总额：16276.00元，总充值订单数：27单，充值设备：1台，充值IP：3个 结果：{"Code":true,"Msg":"\u53d1\u9001\u6210\u529f\uff01"} 
