[ 2017-10-03 21:45:02 41428 ] 内容 ： 【充值预警】Lgame06850784234286充值总额：4246.00元，总充值订单数：8单，充值设备：7台，充值IP：4个 结果：{"Code":true,"Msg":"\u53d1\u9001\u6210\u529f\uff01"} 
[ 2017-10-05 21:45:02 3595 ] 内容 ： 【充值预警】Ls51150644754629753充值总额：2049.00元，总充值订单数：6单，充值设备：5台，充值IP：3个 结果：{"Code":true,"Msg":"\u53d1\u9001\u6210\u529f\uff01"} 
[ 2017-10-06 19:30:02 89249 ] 内容 ： 【充值预警】kiss51685168充值总额：10398.00元，总充值订单数：17单，充值设备：1台，充值IP：1个 结果：{"Code":true,"Msg":"\u53d1\u9001\u6210\u529f\uff01"} 
[ 2017-10-07 20:45:01 45158 ] 内容 ： 【充值预警】kiss51685168充值总额：10048.00元，总充值订单数：16单，充值设备：1台，充值IP：1个 结果：{"Code":true,"Msg":"\u53d1\u9001\u6210\u529f\uff01"} 
[ 2017-10-11 14:30:01 20276 ] 内容 ： 【充值预警】Ls511503379681c0811充值总额：10742.00元，总充值订单数：20单，充值设备：1台，充值IP：1个 结果：{"Code":true,"Msg":"\u53d1\u9001\u6210\u529f\uff01"} 
[ 2017-10-11 18:30:01 90843 ] 内容 ： 【充值预警】Ls511503379681c0811充值总额：10742.00元，总充值订单数：20单，充值设备：1台，充值IP：1个 结果：{"Code":true,"Msg":"\u53d1\u9001\u6210\u529f\uff01"} 
[ 2017-10-11 18:30:01 90843 ] 内容 ： 【充值预警】naturstone充值总额：2685.00元，总充值订单数：6单，充值设备：5台，充值IP：3个 结果：{"Code":true,"Msg":"\u53d1\u9001\u6210\u529f\uff01"} 
[ 2017-10-20 03:15:02 81929 ] 内容 ： 【充值预警】Lgame9270139充值总额：10368.00元，总充值订单数：36单，充值设备：1台，充值IP：1个 结果：{"Code":true,"Msg":"\u53d1\u9001\u6210\u529f\uff01"} 
[ 2017-10-20 04:15:01 21608 ] 内容 ： 【充值预警】liu3384773536充值总额：12990.00元，总充值订单数：21单，充值设备：1台，充值IP：1个 结果：{"Code":true,"Msg":"\u53d1\u9001\u6210\u529f\uff01"} 
[ 2017-10-20 04:15:01 21608 ] 内容 ： 【充值预警】Lgame9270139充值总额：11664.00元，总充值订单数：38单，充值设备：1台，充值IP：1个 结果：{"Code":true,"Msg":"\u53d1\u9001\u6210\u529f\uff01"} 
[ 2017-10-20 05:15:01 51635 ] 内容 ： 【充值预警】Lgame9270139充值总额：14264.00元，总充值订单数：43单，充值设备：1台，充值IP：1个 结果：{"Code":true,"Msg":"\u53d1\u9001\u6210\u529f\uff01"} 
[ 2017-10-20 05:15:01 51635 ] 内容 ： 【充值预警】liu3384773536充值总额：13966.00元，总充值订单数：23单，充值设备：1台，充值IP：1个 结果：{"Code":true,"Msg":"\u53d1\u9001\u6210\u529f\uff01"} 
[ 2017-10-20 11:15:01 55829 ] 内容 ： 【充值预警】Lgame9270139充值总额：15108.00元，总充值订单数：51单，充值设备：1台，充值IP：2个 结果：{"Code":true,"Msg":"\u53d1\u9001\u6210\u529f\uff01"} 
[ 2017-10-20 11:15:01 55829 ] 内容 ： 【充值预警】liu3384773536充值总额：13966.00元，总充值订单数：23单，充值设备：1台，充值IP：1个 结果：{"Code":true,"Msg":"\u53d1\u9001\u6210\u529f\uff01"} 
[ 2017-10-20 11:15:01 55829 ] 内容 ： 【充值预警】Lgame05152236175631充值总额：10368.00元，总充值订单数：16单，充值设备：1台，充值IP：2个 结果：{"Code":true,"Msg":"\u53d1\u9001\u6210\u529f\uff01"} 
[ 2017-10-20 12:00:01 41171 ] 内容 ： 【充值预警】Lgame9270139充值总额：15108.00元，总充值订单数：51单，充值设备：1台，充值IP：2个 结果：{"Code":true,"Msg":"\u53d1\u9001\u6210\u529f\uff01"} 
[ 2017-10-20 12:00:01 41171 ] 内容 ： 【充值预警】liu3384773536充值总额：13966.00元，总充值订单数：23单，充值设备：1台，充值IP：1个 结果：{"Code":true,"Msg":"\u53d1\u9001\u6210\u529f\uff01"} 
[ 2017-10-20 12:00:01 41171 ] 内容 ： 【充值预警】l19840723充值总额：11664.00元，总充值订单数：18单，充值设备：1台，充值IP：2个 结果：{"Code":true,"Msg":"\u53d1\u9001\u6210\u529f\uff01"} 
[ 2017-10-20 12:00:01 41171 ] 内容 ： 【充值预警】Lgame05152236175631充值总额：10368.00元，总充值订单数：16单，充值设备：1台，充值IP：2个 结果：{"Code":true,"Msg":"\u53d1\u9001\u6210\u529f\uff01"} 
[ 2017-10-20 14:45:01 46358 ] 内容 ： 【充值预警】Lgame9270139充值总额：15108.00元，总充值订单数：51单，充值设备：1台，充值IP：2个 结果：{"Code":true,"Msg":"\u53d1\u9001\u6210\u529f\uff01"} 
[ 2017-10-20 14:45:01 46358 ] 内容 ： 【充值预警】l19840723充值总额：14256.00元，总充值订单数：22单，充值设备：1台，充值IP：3个 结果：{"Code":true,"Msg":"\u53d1\u9001\u6210\u529f\uff01"} 
[ 2017-10-20 14:45:01 46358 ] 内容 ： 【充值预警】liu3384773536充值总额：13966.00元，总充值订单数：23单，充值设备：1台，充值IP：1个 结果：{"Code":true,"Msg":"\u53d1\u9001\u6210\u529f\uff01"} 
[ 2017-10-20 14:45:01 46358 ] 内容 ： 【充值预警】Lgame05152236175631充值总额：10368.00元，总充值订单数：16单，充值设备：1台，充值IP：2个 结果：{"Code":true,"Msg":"\u53d1\u9001\u6210\u529f\uff01"} 
